filepath,xmin,xmax,ymin,ymax
../car-plate/images\N153.xml,133,279,352,385
../car-plate/images\N154.xml,106,245,157,196
../car-plate/images\N155.xml,145,313,167,201
../car-plate/images\N156.xml,49,106,230,249
../car-plate/images\N158.xml,122,224,268,292
../car-plate/images\N16.xml,887,1173,625,696
../car-plate/images\N160.xml,153,251,196,217
../car-plate/images\N162.xml,147,336,169,209
../car-plate/images\N163.xml,230,316,203,231
../car-plate/images\N164.xml,248,421,121,174
../car-plate/images\N165.xml,186,374,290,335
../car-plate/images\N166.xml,809,1034,246,295
../car-plate/images\N167.xml,345,848,242,416
../car-plate/images\N168.xml,271,474,514,561
../car-plate/images\N169.xml,167,413,208,263
../car-plate/images\N17.xml,88,216,507,556
../car-plate/images\N170.xml,299,442,337,386
../car-plate/images\N171.xml,13,444,137,270
../car-plate/images\N172.xml,147,370,133,184
../car-plate/images\N173.xml,80,335,150,243
../car-plate/images\N174.xml,315,665,442,531
../car-plate/images\N175.xml,183,250,205,229
../car-plate/images\N176.xml,195,383,320,358
../car-plate/images\N177.xml,331,538,263,317
../car-plate/images\N178.xml,210,335,289,351
../car-plate/images\N179.xml,203,297,217,240
../car-plate/images\N18.xml,373,528,366,408
../car-plate/images\N181.xml,361,499,381,432
../car-plate/images\N183.xml,216,343,155,190
../car-plate/images\N184.xml,229,1391,204,660
../car-plate/images\N185.xml,321,559,420,484
../car-plate/images\N186.xml,464,561,286,344
../car-plate/images\N187.xml,572,839,461,535
../car-plate/images\N188.xml,587,711,760,832
../car-plate/images\N189.xml,178,381,121,181
../car-plate/images\N19.xml,99,216,367,423
../car-plate/images\N190.xml,896,1558,814,969
../car-plate/images\N191.xml,317,568,319,397
../car-plate/images\N192.xml,543,769,390,461
../car-plate/images\N193.xml,274,502,2,59
../car-plate/images\N195.xml,186,367,137,232
../car-plate/images\N196.xml,119,220,84,111
../car-plate/images\N197.xml,120,184,103,130
../car-plate/images\N198.xml,214,335,138,169
../car-plate/images\N199.xml,45,112,206,255
../car-plate/images\N2.xml,1804,2493,1734,1882
../car-plate/images\N20.xml,498,796,729,814
../car-plate/images\N200.xml,196,442,227,293
../car-plate/images\N201.xml,157,290,193,229
../car-plate/images\N202.xml,157,329,260,296
../car-plate/images\N203.xml,765,1258,821,905
../car-plate/images\N204.xml,94,206,307,334
../car-plate/images\N205.xml,322,479,169,203
../car-plate/images\N206.xml,121,215,120,147
../car-plate/images\N207.xml,213,339,280,307
../car-plate/images\N208.xml,199,274,203,221
../car-plate/images\N209.xml,145,319,200,244
../car-plate/images\N21.xml,244,403,221,258
../car-plate/images\N210.xml,143,337,210,254
../car-plate/images\N211.xml,74,160,149,175
../car-plate/images\N212.xml,159,353,115,173
../car-plate/images\N213.xml,131,209,129,153
../car-plate/images\N214.xml,167,277,189,226
../car-plate/images\N215.xml,85,258,390,446
../car-plate/images\N216.xml,322,682,300,371
../car-plate/images\N217.xml,404,585,429,468
../car-plate/images\N218.xml,176,301,212,238
../car-plate/images\N219.xml,1,300,92,154
../car-plate/images\N22.xml,493,858,885,967
../car-plate/images\N220.xml,182,349,238,273
../car-plate/images\N221.xml,104,209,153,182
../car-plate/images\N222.xml,127,183,122,156
../car-plate/images\N223.xml,69,585,79,183
../car-plate/images\N224.xml,164,272,223,247
../car-plate/images\N225.xml,775,1142,965,1101
../car-plate/images\N226.xml,142,343,253,304
../car-plate/images\N227.xml,626,768,280,359
../car-plate/images\N229.xml,358,1031,294,540
../car-plate/images\N23.xml,107,201,264,288
../car-plate/images\N230.xml,271,484,332,384
../car-plate/images\N231.xml,581,700,273,319
../car-plate/images\N232.xml,286,451,216,258
../car-plate/images\N233.xml,99,223,20,50
../car-plate/images\N234.xml,224,307,158,183
../car-plate/images\N235.xml,44,656,128,391
../car-plate/images\N236.xml,313,380,111,141
../car-plate/images\N237.xml,121,243,163,198
../car-plate/images\N238.xml,165,341,129,170
../car-plate/images\N239.xml,106,263,238,276
../car-plate/images\N24.xml,151,280,193,224
../car-plate/images\N240.xml,164,285,99,137
../car-plate/images\N241.xml,251,542,308,385
../car-plate/images\N242.xml,202,386,190,227
../car-plate/images\N244.xml,335,452,313,343
../car-plate/images\N245.xml,192,364,279,319
../car-plate/images\N246.xml,23,160,261,321
../car-plate/images\N247.xml,641,886,518,578
../car-plate/images\N248.xml,288,429,248,281
../car-plate/images\N25.xml,132,235,169,193
../car-plate/images\N27.xml,696,1061,546,677
../car-plate/images\N28.xml,738,1009,654,722
../car-plate/images\N3.xml,73,260,381,462
../car-plate/images\N30.xml,928,1219,543,606
../car-plate/images\N31.xml,256,381,233,261
../car-plate/images\N32.xml,360,500,171,206
../car-plate/images\N33.xml,856,1218,665,751
../car-plate/images\N34.xml,576,902,487,596
../car-plate/images\N35.xml,97,229,338,378
../car-plate/images\N36.xml,392,517,161,213
../car-plate/images\N37.xml,77,200,231,290
../car-plate/images\N38.xml,397,645,590,641
../car-plate/images\N4.xml,1326,1830,1464,1607
../car-plate/images\N40.xml,328,580,208,254
../car-plate/images\N42.xml,163,373,253,327
../car-plate/images\N43.xml,142,298,281,327
../car-plate/images\N44.xml,113,257,282,322
../car-plate/images\N45.xml,107,256,147,180
../car-plate/images\N46.xml,454,797,109,234
../car-plate/images\N47.xml,161,313,212,259
../car-plate/images\N48.xml,156,335,259,303
../car-plate/images\N49.xml,196,352,135,173
../car-plate/images\N5.xml,938,1173,709,762
../car-plate/images\N50.xml,101,397,223,291
../car-plate/images\N51.xml,383,491,212,248
../car-plate/images\N52.xml,234,422,254,294
../car-plate/images\N53.xml,217,428,147,188
../car-plate/images\N54.xml,189,299,162,188
../car-plate/images\N56.xml,302,486,265,303
../car-plate/images\N57.xml,211,406,161,202
../car-plate/images\N58.xml,221,430,190,231
../car-plate/images\N59.xml,1238,2468,1012,1269
../car-plate/images\N6.xml,858,1122,611,676
../car-plate/images\N61.xml,158,350,252,297
../car-plate/images\N62.xml,289,421,188,232
../car-plate/images\N63.xml,297,422,174,218
../car-plate/images\N64.xml,19,94,249,314
../car-plate/images\N65.xml,1024,1273,611,680
../car-plate/images\N66.xml,163,320,247,280
../car-plate/images\N67.xml,164,336,162,195
../car-plate/images\N68.xml,319,479,262,295
../car-plate/images\N69.xml,637,840,464,549
../car-plate/images\N7.xml,1149,1358,649,702
../car-plate/images\N70.xml,186,395,376,430
../car-plate/images\N72.xml,186,325,177,212
../car-plate/images\N73.xml,124,209,102,130
../car-plate/images\N74.xml,161,366,210,250
../car-plate/images\N75.xml,466,740,680,737
../car-plate/images\N77.xml,361,566,190,297
../car-plate/images\N78.xml,146,302,160,196
../car-plate/images\N79.xml,113,277,288,347
../car-plate/images\N8.xml,788,1525,1675,1851
../car-plate/images\N80.xml,248,372,116,144
../car-plate/images\N81.xml,66,174,302,332
../car-plate/images\N82.xml,456,651,722,778
../car-plate/images\N84.xml,235,349,319,352
../car-plate/images\N85.xml,163,302,357,427
../car-plate/images\N86.xml,448,638,273,338
../car-plate/images\N88.xml,208,370,89,173
../car-plate/images\N89.xml,150,378,217,269
../car-plate/images\N9.xml,142,441,55,167
../car-plate/images\N90.xml,53,185,206,232
../car-plate/images\N91.xml,239,347,187,211
../car-plate/images\N92.xml,113,420,209,260
../car-plate/images\N93.xml,385,746,293,434
../car-plate/images\N94.xml,63,243,234,274
../car-plate/images\N95.xml,23,408,173,391
../car-plate/images\N96.xml,137,352,141,186
../car-plate/images\N97.xml,175,290,228,255
../car-plate/images\N98.xml,563,675,207,238
../car-plate/images\N99.xml,158,389,129,193
